frame,t,x,y,z
55,9.716544069349766,-169.07351684570312,-244.30575561523438,0.643383800983429
56,9.766544070094824,-168.6619873046875,-244.244384765625,0.6796076893806458
57,9.816544070839882,-168.23887634277344,-244.18115234375,0.7168537974357605
58,9.86654407158494,-167.80409240722656,-244.115966796875,0.7551305890083313
59,9.916544072329998,-167.35752868652344,-244.04896545410156,0.7944453954696655
60,9.966544073075056,-166.8990020751953,-243.97999572753906,0.8348138332366943
61,10.016544073820114,-166.428466796875,-243.9091796875,0.8762421011924744
62,10.066544074565172,-165.94772338867188,-243.83670043945312,0.9185816645622253
63,10.11654407531023,-165.46148681640625,-243.76333618164062,0.9614382982254028
64,10.166544076055288,-164.97706604003906,-243.68954467773438,1.0041799545288086
65,10.216544076800346,-164.50006103515625,-243.6162567138672,1.0463032722473145
66,10.266544077545404,-164.0334930419922,-243.54412841796875,1.0875132083892822
67,10.316544078290462,-163.5791015625,-243.47364807128906,1.1276447772979736
68,10.36654407903552,-163.13804626464844,-243.4049530029297,1.1665928363800049
69,10.416544079780579,-162.71096801757812,-243.3382568359375,1.2042958736419678
70,10.466544080525637,-162.29824829101562,-243.2736053466797,1.2407243251800537
71,10.516544081270695,-161.9000244140625,-243.21115112304688,1.2758649587631226
72,10.566544082015753,-161.51629638671875,-243.15077209472656,1.3097187280654907
73,10.61654408276081,-161.14697265625,-243.09266662597656,1.34229576587677
74,10.666544083505869,-160.79190063476562,-243.0366668701172,1.373610496520996
75,10.716544084250927,-160.4510955810547,-242.98019409179688,1.4036991596221924
76,10.766544084995985,-160.12159729003906,-242.92198181152344,1.432815670967102
77,10.816544085741043,-159.79945373535156,-242.86325073242188,1.4612863063812256
78,10.866544086486101,-159.48110961914062,-242.80384826660156,1.4894218444824219
79,10.91654408723116,-159.16302490234375,-242.74339294433594,1.5175361633300781
80,10.966544087976217,-158.842041015625,-242.6814727783203,1.5459123849868774
81,11.016544088721275,-158.5155792236328,-242.61778259277344,1.574782371520996
82,11.066544089466333,-158.181640625,-242.55191040039062,1.6040407419204712
83,11.116544090211391,-157.83885192871094,-242.48362731933594,1.6342558860778809
84,11.16654409095645,-157.48623657226562,-242.41329956054688,1.6662871837615967
85,11.216544091701508,-157.12318420410156,-242.34054565429688,1.699784517288208
86,11.266544092446566,-156.7492218017578,-242.26515197753906,1.7344911098480225
87,11.316544093191624,-156.36419677734375,-242.1868438720703,1.7699477672576904
88,11.366544093936682,-155.96755981445312,-242.10617065429688,1.805482268333435
89,11.41654409468174,-155.55946350097656,-242.02313232421875,1.8426696062088013
90,11.466544095426798,-155.14077758789062,-241.93338012695312,1.8803056478500366
91,11.516544096171856,-154.71180725097656,-241.83644104003906,1.918588638305664
92,11.566544096916914,-154.2728271484375,-241.73416137695312,1.959421992301941
93,11.616544097661972,-153.8231964111328,-241.62738037109375,2.002701759338379
94,11.66654409840703,-153.36264038085938,-241.51475524902344,2.0459630489349365
95,11.716544099152088,-152.8927459716797,-241.3943634033203,2.0899319648742676
96,11.766544099897146,-152.4188690185547,-241.2655487060547,2.135101079940796
97,11.816544100642204,-151.944091796875,-241.13172912597656,2.1789357662200928
98,11.866544101387262,-151.4720916748047,-240.99534606933594,2.2229931354522705
99,11.91654410213232,-151.00570678710938,-240.85743713378906,2.2684762477874756
100,11.966544102877378,-150.54672241210938,-240.71453857421875,2.3118138313293457
101,12.016544103622437,-150.09803771972656,-240.5677032470703,2.3549556732177734
